name,salary_from,salary_to,salary_currency,area_name,published_at
Системотехник,60000.0,,RUR,Омск,2022-12-15T11:56:29+0300
Product analyst,,,,Пермь,2022-12-15T11:27:45+0300
Менеджер по продажам сельхозтехники и спецтехники,100000.0,600000.0,RUR,Уфа,2022-12-15T07:29:21+0300
Помощник машиниста экструдера,58000.0,,RUR,Екатеринбург,2022-12-15T08:22:13+0300
Middle/ Senior Frontend-разработчик (Angular/Vue/React),,,,Воронеж,2022-12-15T11:30:06+0300
Бизнес-аналитик в IT,,,,Алматы,2022-12-15T11:54:49+0300
Токарь на станок с ЧПУ,40000.0,,RUR,Ижевск,2022-12-15T09:47:10+0300
Ведущий инженер по ИТ (дочернее общество ПАО «НК «Роснефть»),67000.0,,RUR,Екатеринбург,2022-12-15T07:34:57+0300
Дизайнер,150000.0,300000.0,KZT,Алматы,2022-12-15T07:13:51+0300
"Тестировщик, ITSM продукт",,,,Москва,2022-12-15T09:08:46+0300
Специалист по информационной безопасности,45000.0,,RUR,Барнаул,2022-12-15T05:35:14+0300
Печатник,,,,Пермь,2022-12-15T09:10:21+0300
Токарь,60000.0,70000.0,RUR,Воронеж,2022-12-15T11:25:44+0300
NodeJS разработчик,180000.0,250000.0,RUR,Москва,2022-12-15T11:53:18+0300
Консультант-аналитик 1С (удаленно),80000.0,120000.0,RUR,Орел,2022-12-15T11:15:22+0300
Руководитель проектов,75000.0,,RUR,Зеленоград,2022-12-15T09:27:23+0300
"Сервисный инженер, Поволжье",45000.0,,RUR,Саратов,2022-12-15T10:34:29+0300
Веб-разработчик (back-end),,,,Тула,2022-12-15T09:58:52+0300
Стажер/PHP-программист,20000.0,,RUR,Санкт-Петербург,2022-12-15T10:44:40+0300
Инженер по обслуживанию домофонов,45000.0,,RUR,Набережные Челны,2022-12-15T09:57:33+0300
Менеджер проектов,600000.0,600000.0,KZT,Алматы,2022-12-15T07:08:25+0300
IT специалист / Системный администратор / Техник,20000.0,35000.0,RUR,Омск,2022-12-15T10:01:47+0300
Инженер электромеханического ремонта,70000.0,120000.0,RUR,Новосибирск,2022-12-15T07:26:45+0300
NodeJS разработчик,180000.0,250000.0,RUR,Санкт-Петербург,2022-12-15T11:53:18+0300
Бизнес-аналитик (разработка АБС для индийского филиала Банка),,,,Москва,2022-12-15T11:06:09+0300
Шлифовальщик по дереву,45000.0,60000.0,RUR,Красногорск,2022-12-15T00:29:56+0300
Аналитик инвестиционного проекта,90000.0,,RUR,Новокузнецк,2022-12-15T07:54:39+0300
Специалист по контенту,,,,Воронеж,2022-12-15T10:29:46+0300
Коммуникационный дизайнер,,,,Москва,2022-12-15T09:49:23+0300
Motion designer,120000.0,,RUR,Москва,2022-12-15T11:01:49+0300
Бизнес-аналитик / Технический писатель / Аналитик (Опыт в IT),120000.0,,RUR,Санкт-Петербург,2022-12-15T09:53:34+0300
Эксперт по информационной безопасности,117000.0,,RUR,Екатеринбург,2022-12-15T11:31:30+0300
Главный механик,25000.0,35000.0,RUR,Волгоград,2022-12-15T09:08:00+0300
Инженер по обслуживанию банкоматов,,,,Ижевск,2022-12-15T11:32:40+0300
Специалист по анализу данных,,,,Москва,2022-12-15T11:53:00+0300
Контент-менеджер сайта,30000.0,,RUR,Пятигорск,2022-12-15T10:41:45+0300
Системный администратор,50000.0,70000.0,RUR,Краснодар,2022-12-15T11:39:48+0300
Эксперт по информационной безопасности,117000.0,,RUR,Екатеринбург,2022-12-15T11:47:05+0300
Программист BackEnd,150000.0,350000.0,KZT,Усть-Каменогорск,2022-12-15T09:39:32+0300
Аналитик,45000.0,128700.0,RUR,Волгоград,2022-12-15T10:02:13+0300
Системный аналитик (удаленно),,,,Москва,2022-12-15T09:12:55+0300
Рабочий на экструзионное производство,53000.0,59000.0,RUR,Краснодар,2022-12-15T09:06:14+0300
Стажер-Автотестирование (Java),,20000.0,RUR,Уфа,2022-12-15T07:09:37+0300
HTML/CSS developer,,,,Баку,2022-12-15T11:46:16+0300
Руководитель по информационной безопасности,,,,Москва,2022-12-15T11:49:54+0300
Системный администратор (виртуализация и серверы),,,,Санкт-Петербург,2022-12-15T11:03:53+0300
Копирайтер Молодежного Центра,,45000.0,RUR,Владивосток,2022-12-15T04:12:45+0300
Главный специалист (направление Microsoft),,,,Москва,2022-12-15T10:40:20+0300
Видеомонтажер/Графический дизайнер,30000.0,35000.0,RUR,Иркутск,2022-12-15T11:02:47+0300
Начальник отдела по организации планово-предупредительных ремонтов,180000.0,200000.0,RUR,Москва,2022-12-15T06:23:24+0300
Сборщик каркасов мягкой мебели,35000.0,45000.0,RUR,Тюмень,2022-12-15T07:15:58+0300
Таргетолог,80000.0,160000.0,KZT,Астана,2022-12-15T09:09:38+0300
Оператор станка с ЧПУ,30000.0,,RUR,Оренбург,2022-12-15T09:38:17+0300
Специалист-аналитик Молодежного центра,80000.0,,RUR,Владивосток,2022-12-15T03:44:56+0300
Специалист (электромонтёр) охранно-пожарной сигнализации,40000.0,65000.0,RUR,Воронеж,2022-12-15T08:49:59+0300
Тестировщик/QA-инженер,,,,Екатеринбург,2022-12-15T10:56:51+0300
Стажер инженер техподдержки [Виртуальная АТС],,,,Москва,2022-12-15T10:17:07+0300
Инженер-механик,1500.0,2000.0,BYR,Копыль,2022-12-15T08:33:00+0300
Оператор станков с ЧПУ,80000.0,,RUR,Ижевск,2022-12-15T11:10:55+0300
Системный администратор,60000.0,,RUR,Казань,2022-12-15T11:36:56+0300
Системный администратор,10000.0,,RUR,Саратов,2022-12-15T09:24:17+0300
Заместитель начальника участка буровзрывных работ на ОГР,270000.0,,RUR,Новосибирск,2022-12-15T08:56:27+0300
Инженер-программист (C++/Qt),30000.0,50000.0,RUR,Тула,2022-12-15T09:15:54+0300
Бизнес-аналитик (регламентация бизнес-процессов),150000.0,,RUR,Москва,2022-12-15T11:13:49+0300
Линейный механик,350000.0,,KZT,Шымкент,2022-12-15T11:13:15+0300
Product Owner (Billing),,,,Санкт-Петербург,2022-12-15T09:37:01+0300
Техник по информационным системам,40000.0,40000.0,RUR,Томск,2022-12-15T08:16:58+0300
HTML/CSS developer,,,,Тбилиси,2022-12-15T11:46:16+0300
Программист-стажер 1С,20000.0,,RUR,Тюмень,2022-12-15T11:51:19+0300
